zcr,rms_energy,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,sp_centroid,sp_rolloff,sp_bw,label
0.105211580989,3.62978705017,-259.198697771,107.570618377,31.7917036932,17.9483328165,-0.26364676309,16.9772031976,9.64399995121,8.36102506306,-7.65762750343,15.5463733454,-17.0207165129,1.05244226336,-14.9284962674,4839.62593648,11926.4468306,5135.48302498,104 - Cow
0.04726925029,2.92868574808,-355.513262186,152.54495933,-7.12444368779,-26.1686423282,-13.2353319973,-11.4286914275,-6.96750203844,0.142933916716,1.92748225742,0.593859003111,-1.08764769668,-4.64694556017,-5.38099916198,2315.21782149,5804.37232635,2610.34519554,104 - Cow
0.0389945258121,1.21695427099,-364.783472324,153.621305982,5.42386910456,17.3299406378,7.69983672242,10.8831580837,12.5751000901,-6.62072261146,3.03742630125,3.7038951347,0.658345996852,1.16676797613,-7.62173210541,1987.14479015,5416.4249429,2993.52660008,104 - Cow
0.0214866408063,2.2961711358,-286.465192036,191.958725673,5.85298139107,-9.70512198684,4.55059123976,11.0341620996,3.49140080689,9.14074244408,13.4265875958,8.14183800154,7.16830736715,-2.06701240503,0.612883529996,1148.21196533,2450.4385468,2093.73089989,104 - Cow
0.0398090831642,6.02201645986,-222.716723224,125.78323506,-21.4710036031,13.4449255572,6.67768545439,11.4573571134,-0.171340319164,-1.10257762699,-2.9805511178,-0.0204345465774,-7.43134682937,2.29480639107,-2.77642037406,2084.23616876,4962.07935307,2664.35048425,104 - Cow
0.0384688587587,3.35448397099,-362.376586402,60.0910105507,-6.84420700475,5.91954346609,9.07384729302,8.06306212255,2.11514617443,3.43929533992,0.816208195609,-1.61788072216,-0.9484608165,-0.470448687021,2.43541281427,3288.20802878,9755.04062591,4131.10546523,104 - Cow
0.0264283642691,5.86732797888,-191.316062906,201.895495034,-12.2276653371,-24.0611753547,10.4139884466,-5.58063944598,-13.662129673,-4.40208994897,-6.2855811299,-12.2462100214,-11.8377308015,-7.83666694082,-6.02632152301,1073.10671163,2264.38367804,1248.09728446,104 - Cow
0.00473553509281,5.61669855149,-350.287630628,66.1398362917,-5.31537020901,2.46010209325,0.548460304803,3.25563924738,-1.08563600433,-0.686237814398,-0.473178429788,1.15695291155,0.829144830276,0.427898218009,1.25141317399,375.421161029,857.631008918,685.582321911,104 - Cow
0.0116201874275,3.52430694694,-356.796519295,59.3836147254,-12.5613797457,2.54460751412,-5.56354467893,3.29960812699,-1.66261095199,2.87663375258,-0.25751633536,2.3309969712,-0.812601032735,-2.50922092307,0.218147914912,520.70718729,1207.75789407,733.614297543,104 - Cow
0.0432406467517,1.31760691249,-352.723362938,161.990486518,-21.5504475697,17.2528004392,1.83735930592,-3.04594306398,2.67073614126,11.7012566599,-0.212779478291,0.744217229036,-2.66306622007,0.874001100916,2.02969829289,2061.53599755,5172.46524253,2668.42259213,104 - Cow
0.0417554107454,1.89397419803,-432.587551308,118.412918598,34.5814614375,-17.9296031753,-15.6412647588,5.37849681846,7.46534979956,-8.9381078693,-21.76853091,-19.9650608039,-10.3571505663,-3.21226385581,-1.10378438986,2063.09644408,5814.56437609,2571.65115994,104 - Cow
0.0828310796114,4.523175812,-199.293109168,114.404536632,5.51677402362,21.2493576715,-6.321090891,9.09918365687,-6.66374447121,1.97408797237,-7.60409000531,-1.10608439002,-11.0951429325,-6.48166343824,-11.1369749328,3865.76035426,10058.0043005,4292.47127143,104 - Cow
0.0303663355568,4.4974890296,-213.392698341,231.455709895,-25.5193355034,-9.59881166839,14.2005253432,-5.53225637173,-10.285617547,-2.09303786256,-2.67523264849,-8.79738497013,-13.8605090937,-10.2636843067,-4.47937474246,1087.4747453,2318.94112076,1295.82420108,104 - Cow
0.0390942212877,1.81437125885,-268.564779155,206.491989783,-55.7081946657,5.05389107926,10.8924459486,8.59257287105,5.03272865969,6.72151627432,9.63988232824,5.39680539103,1.52149060477,-0.978996301245,2.88634271992,1493.67726443,3116.31912975,1804.61088358,104 - Cow
0.0447530724333,1.92993866377,-274.43196792,155.901049555,1.24088436474,7.01697322667,-21.2510051091,-6.0554834242,0.360890692136,17.2618329176,-2.98401427638,-13.4833506052,-11.9198229517,-6.387480172,-9.92058707158,2299.01338953,6333.1598481,3200.43122659,104 - Cow
0.0147809871665,4.04562319202,-330.691957226,80.8460633341,-13.8718087969,-3.9879288975,-8.0501203076,-3.31010932199,-5.44958955179,-4.23750821046,-2.37884259646,-0.0491966271092,-0.533505896584,-3.26034115265,-0.64493553085,604.880507731,1185.27543141,827.334830527,104 - Cow
0.02655524942,5.36175006614,-199.349589481,222.582586034,-12.2075423102,-17.7636416027,7.51056877613,5.40722953765,-5.94343332364,1.5456046529,0.513708736617,-7.86888752252,-0.788520226635,3.25211168433,1.77856614058,1072.18259002,2145.22662594,1484.74754773,104 - Cow
0.0700020845418,1.78627739167,-255.325066017,137.589933057,-29.7385679055,11.3426768781,-8.40319176286,16.7677751738,-10.3029963709,4.67065033831,0.633272103519,2.15432416584,3.03442590199,2.6091138193,-2.89009369407,2908.49781571,7786.12646824,3349.08846688,104 - Cow
